reference;species;model_name;model_AIC;criterion;observations;decision;;;;;;;;;;;;;;;;;;;
rendon2018;Drosophila suzukii;;;;unrealistic;drop;;;;;;;;;;;;;;;;;;;
rodriguez1989;Diatraea lineolata;deutsch_2008;-61.51;all;;pass;;;;;;;;;;;;;;;;;;;
roy2003;Stethorus punctillum;deutsch_2008;-51.36;all;;pass;;;;;;;;;;;;;;;;;;;
roy2003;Tetranychus mcdanieli;pawar_2018;-36.18;ecological and best fit;;pass;;;;;;;;;;;;;;;;;;;
saeed2019;Plutella xylostella;gaussian_1987;-26.66;single converged;;pass;;;;;;;;;;;;;;;;;;;
sanchez2007a;Acarus farris;deutsch_2008;-30.68;all;;pass;;;;;;;;;;;;;;;;;;;
sanchez2007b;Tyrophagus neiswanderi;deutsch_2008;-43.73;all;;pass;;;;;;;;;;;;;;;;;;;
sanchez2017;Monosteira unicostata;pawar_2018;-30.17;ecological ;;discard;;;;;;;;;;;;;;;;;;;
sanchez2017;Monosteira unicostata;deutsch_2008;-34.21;best fit;;choose;;;;;;;;;;;;;;;;;;;
sandhu2013;Elasmopalpus lignosellus;deutsch_2008;-59.07;all;;pass;;;;;;;;;;;;;;;;;;;
satar2002;Brachycaudus schwartzi;pawar_2018;-18.27;ecological and best fit;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
satar2015;Aphis gossypii;deutsch_2008;-22.02;ecological;quite high uncertainty;choose;;;;;;;;;;;;;;;;;;;
satar2015;Aphis gossypii;gaussian_1987;-24.04;smaller uncertainty and best fit;;discard;;;;;;;;;;;;;;;;;;;
schlesener2020;Drosophila suzukii;deutsch_2008;-62.41;all;;pass;;;;;;;;;;;;;;;;;;;
shusheng1987;Hyperomyzus lactucae;deutsch_2008;-46.04;ecological and best fit;rezende seemed better but unrealistic ctmin;pass;;;;;;;;;;;;;;;;;;;
siddiqui1973;Ephestia kuehniella;gaussian_1987;-57.76;smaller uncertainty;;choose;;;;;;;;;;;;;;;;;;;
singh1991;Chilo partellus;weibull_1995;-35.87;best fit;;discard;;;;;;;;;;;;;;;;;;;
singh1991;Chilo partellus;deutsch_2008;-32.85;ecological;;choose;;;;;;;;;;;;;;;;;;;
singh1991;Chilo partellus;gaussian_1987;-34.07;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
smith1965;Cryptolestes ferrugineus;deutsch_2008;-69.74;ecological;;choose;;;;;;;;;;;;;;;;;;;
smith1965;Cryptolestes ferrugineus;gaussian_1987;-69.74;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
smith1992;Anisopteromalus calandrae;gaussian_1987;-17.38;single converged;;pass;;;;;;;;;;;;;;;;;;;
soh2018;Brevicoryne brassicae;deutsch_2008;-11.93;best fit;high uncertainty;drop;;;;;;;;;;;;;;;;;;;
souza2020;Melanaphis sacchari;gaussian_1987;-6.39;smaller uncertainty and best fit;high uncertainty and poor fitting;drop;;;;;;;;;;;;;;;;;;;
sporleder2017;Symmetrischema tangolias;deutsch_2008;-74.79;all;;pass;;;;;;;;;;;;;;;;;;;
summers1984;Acyrtosiphon kondoi;rezende_2019;-22.39;ecological;high uncertainty;drop;;;;;;;;;;;;;;;;;;;
tang2008;Liposcelis decolor;deutsch_2008;-58.55;ecological;ctmin realistic;pass;;;;;;;;;;;;;;;;;;;
tian2020;Aphis glycines;gaussian_1987;-5.53;single converged;high uncertainty and poor fitting;drop;;;;;;;;;;;;;;;;;;;
toapanta2005;Anthonomus eugenii;pawar_2018;-37.48;ecological and best fit;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
tokuda2005;Cicadulina bipunctata;deutsch_2008;-47.29;all;;pass;;;;;;;;;;;;;;;;;;;
tsai1995;Thrips palmi;gaussian_1987;-45.78;single converged;high uncertainty;drop;;;;;;;;;;;;;;;;;;;
tsai1998;Rhopalosiphum rufiabdominalis;gaussian_1987;-22.06;smaller uncertainty and best fit;;pass;;;;;;;;;;;;;;;;;;;
turak1998;Sitobion fragariae;gaussian_1987;-27.95;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
turak1998;Sitobion miscanthi;deutsch_2008;-59.78;all;;pass;;;;;;;;;;;;;;;;;;;
ullah2020;Bryobia praetiosa;ullah2020;-24.49;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
vanhuis1994;Uscana lariophaga;deutsch_2008;-46.52;all;;pass;;;;;;;;;;;;;;;;;;;
vargas1997;Bactrocera cucurbitae;deutsch_2008;-22.21;all;;pass;;;;;;;;;;;;;;;;;;;
vargas1997;Bactrocera dorsalis;deutsch_2008;-17.29;all;;pass;;;;;;;;;;;;;;;;;;;
vargas1997;Bactrocera latifrons;gaussian_1987;-11.32;single converged;;drop;;;;;;;;;;;;;;;;;;;
vargas1997;Ceratitis capitata;deutsch_2008;-28.55;all;;pass;;;;;;;;;;;;;;;;;;;
walton2010;Calepitrimerus vitis;deutsch_2008;-24.72;all;;pass;;;;;;;;;;;;;;;;;;;
wang1996;Bemisia argentifolii;deutsch_2008;-54.07;all;;pass;;;;;;;;;;;;;;;;;;;
wang1997;Aphis nasturtii;sharpeschoolfull_1981;-26.18;ecological and best fit;high uncertainty;pass;;;;;;;;;;;;;;;;;;;
wang1998;Liposcelis entomophila;deutsch_2008;-45.28;ecological;;pass;;;;;;;;;;;;;;;;;;;
wang2009;Liposcelis paeta;gaussian_1987;-50.75;smaller uncertainty;;choose_condition;;;;;;;;;;;;;;;;;;;
wang2014;Liriomyza sativae;gaussian_1987;-25.66;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
wang2014;Liriomyza trifolii;gaussian_1987;-31.05;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
wellings1981;Drepanosiphum acerinum;rezende_2019;-32.07;ecological and best fit;;pass;;;;;;;;;;;;;;;;;;;
wellings1981;Drepanosiphum platanoidis;gaussian_1987;-30.61;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
xia1999;Aphis gossypii;deutsch_2008;-30.26;all;;pass;;;;;;;;;;;;;;;;;;;
yadav2012;Thrips palmi;gaussian_1987;-27.08;smaller uncertainty;;choose_condition;;;;;;;;;;;;;;;;;;;
yang1994;Bactrocera dorsalis;deutsch_2008;-45.07;best fit;;choose;;;;;;;;;;;;;;;;;;;
yang1994;Bactrocera dorsalis;pawar_2018;-39.75;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
yang1994;Bactrocera dorsalis;sharpeschoolfull_1981;-41.16;ecological;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
zahiri2010;Hypera postica;deutsch_2008;-44.59;all;;pass;;;;;;;;;;;;;;;;;;;
zamani2006;Aphis gossypii;deutsch_2008;-38.31;ecological and smaller uncertainty;;choose;;;;;;;;;;;;;;;;;;;
zamani2006;Aphis gossypii;weibull_1995;-44.36;best fit;;discard;;;;;;;;;;;;;;;;;;;
zhong2017;Tirathaba rufivena;gaussian_1987;-24.5;smaller uncertainty;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
zhu2015;Leptocybe invasa;deutsch_2008;-39.17;all;;pass;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
